名称及规格,单位,数量,市场价,合计
综合工日 ,工日,2208.9653,90,198806.88
综合工日 ,工日,11181.452,90,1006330.68
综合工日 ,工日,432.8547,90,38956.92
综合工日 ,工日,2576.2835,90,231865.52
综合工日 ,工日,1724.4182,90,155197.64
综合工日 ,工日,4229.9475,90,380695.28
综合工日 ,工日,193.3747,90,17403.72
综合工日 ,工日,1572.0642,90,141485.78
其他人工费 ,元,35233.005,1,35233.01
人工费调整 ,元,9114.35,1,9114.35
1:2水泥砂浆 1:2,m3,89.938,350.47,31520.57
1:2.5水泥砂浆 1:2.5,m3,3.5284,315.67,1113.81
1:3水泥砂浆 1:3,m3,12.911,294.39,3800.87
2:8灰土 2:8,m3,2688.07,32.31,86851.54
M2.5混合砂浆 M2.5,m3,30.3111,196.89,5967.95
M5水泥砂浆 M5,m3,39.714,207.88,8255.75
钢筋 Φ10以内,kg,107.0535,3.63,388.6
I 级钢筋 Φ10以内,kg,189546.075,3.57,676679.49
III 级钢筋 Φ10以内,kg,198851.025,3.866,768758.06
III 级钢筋 Φ10以内,kg,37540.625,3.866,145132.06
II 级钢筋 Φ10以外,kg,8881.625,3.757,33368.27
III 级钢筋 Φ10以外,kg,216470.775,3.835,830165.42
II 级钢筋 Φ10以外,kg,100.45,3.757,377.39
III 级钢筋 Φ10以外,kg,135535.75,3.835,519779.6
镀锌钢板 δ=0.5-0.65,kg,30.4,4.641,141.09
普通钢板 δ=2,m2,166.9776,62.455,10428.59
水泥 综合,kg,92789.1145,0.464,43054.15
加气混凝土块 ,m3,345.4989,213.03,73601.63
加气混凝土块 ,m3,22.39,213.03,4769.74
水泥砂浆板通风道320*300 ,m,421.2,37.74,15896.09
水泥砂浆板通风道400*500 ,m,404.352,51,20621.95
板方材 ,m3,0.032,1198,38.34
红机砖 ,块,304,0.5,152
石灰 ,kg,4138.3096,0.153,633.16
白灰 ,kg,405898.57,0.214,86862.29
砂子 ,kg,361096.717,0.068,24554.58
石子 综合,kg,368,0.057,20.98
白灰 ,kg,7062.8209,0.214,1511.44
50厚膨胀聚苯板 ,m2,1255.317,16.32,20486.77
膨胀螺栓 Φ6,套,405.0585,0.42,170.12
锥螺纹套筒 Φ25以内,个,4809.62,6.324,30416.04
钢板网 ,m2,77.9918,3.5,272.97
钢丝网 ,m2,652.0055,3.2,2086.42
铁件 ,kg,66.2829,3.72,246.57
镀锌预埋铁件 ,kg,2323,4.44,10314.12
电焊条(综合) ,kg,63.9825,8.364,535.15
油漆溶剂油 ,kg,27.4151,2.4,65.8
SBS改性沥青油毡防水卷材 3mm,m2,7245.745,26.3,190563.09
聚氨酯防水涂料 ,kg,6945.8887,16.3,113217.99
JS-复合防水涂料 ,kg,182.971,8.2,1500.36
嵌缝膏 CSPE,支,1739.7232,17,29575.29
乙酸乙酯 ,kg,83.8408,20,1676.82
调合漆 ,kg,54.5394,9.5,518.12
调合漆 ,kg,0.1251,9.5,1.19
防锈漆 ,kg,81.8491,12.54,1026.39
催干剂 ,kg,2.657,29.58,78.59
催干剂 ,kg,0.0041,29.58,0.12
建筑胶 ,kg,189.9018,1.877,356.45
密封胶 KS型,kg,11.7316,15.61,183.13
防水粉 ,kg,72.3265,7.854,568.05
粘接胶 ,kg,537.993,52.75,28379.13
聚氨脂泡沫塑料 ,m3,0.1044,700,73.08
塑护套 ,个,1747.654,0.3,524.3
UPVC排水口 Φ50,套,19.19,4.5,86.36
聚苯乙烯泡沫塑料板 ,m3,4.289,600,2573.4
80厚聚苯板 20kg/m3,m3,605.1699,370.77,224378.84
30厚挤塑聚苯板 ,m3,2.5507,714,1821.2
50厚挤塑聚苯板 ,m3,32.6003,714,23276.61
承接雨水口 Φ100,个,4.04,48.55,196.14
塑料水落管 Φ100,m,403.9012,23,9289.73
塑料雨水斗 ,个,15.15,23.88,361.78
玻璃钢雨水斗 Φ110,个,15.15,21,318.15
Ф20钢筋 ,t,0.107,3866,413.66
轻钢结构空调板 ,t,12.27,7000,85890
C30预拌抗渗砼 C30,m3,461.7222,410,189306.1
C30预拌抗渗砼 C30,m3,458.4045,410,187945.85
C15预拌砼 C15,m3,112.7653,340,38340.2
C15预拌砼 C15,m3,1.3906,340,472.8
C20预拌砼 C20,m3,55.9317,360,20135.41
C25预拌砼 C25,m3,3459.7509,370,1280107.83
C30预拌砼 C30,m3,1057.8286,390,412553.15
C20预拌豆石砼 C20,m3,39.7586,360,14313.1
C15预拌豆石砼 C15,m3,14.2912,340,4859.01
粘结砂浆DEA ,m3,0.3268,3740,1222.23
1:3聚胺酯 ,kg,934.2679,19,17751.09
其他材料费 ,元,86546.5533,1,86546.55
钢筋成型加工及运费 Φ10以内,kg,425937.725,0.135,57501.59
钢筋成型加工及运费 Φ10以外,kg,360988.6,0.101,36459.85
材料费调整 ,元,36166.4913,1,36166.49
钢丝网 ,m2,53.848,3,161.54
钢丝网 ,m2,784.5201,3,2353.56
膨胀钢钉 ,m2,6876.93,7.5,51576.98
机械费 ,元,125538.18,1,125538.18
其他机具费 ,元,53823.0417,1,53823.04
综合工日 ,工日,634.0586,95,60235.57
综合工日 ,工日,1137.3165,95,108045.07
综合工日 ,工日,208.9393,95,19849.23
综合工日 ,工日,4692.3659,95,445774.76
综合工日 ,工日,693.567,95,65888.87
综合工日 ,工日,20.3729,95,1935.43
综合工日 ,工日,332.5064,95,31588.11
其他人工费 ,元,11469.0388,1,11469.04
外墙保温抗裂砂浆罩面人工费 ,元,6694.51,10,66945.1
外墙涂料饰面人工费 ,元,8730.96,9,78578.64
人工费调整 ,元,50498.8894,1,50498.89
钢管 ,m,125.628,15.6,1959.8
水泥 综合,kg,88525.6459,0.464,41075.9
石灰 ,kg,1.0872,0.153,0.17
砂子 ,kg,321452.1679,0.068,21858.75
金刚砂 ,kg,293.475,1.632,478.95
白灰 ,kg,4311.2217,0.214,922.6
塑料踢脚 ,m,65.8376,18,1185.08
